"book_ref","book_date","total_amount"
"0AE531","2017-07-24 11:29:00+00","394800.00"
"0AE568","2017-07-04 02:36:00+00","94800.00"
"0AE58F","2017-07-07 11:46:00+00","38400.00"
"0AE59C","2017-07-22 19:34:00+00","51900.00"
"0AE645","2017-07-29 10:12:00+00","173900.00"
"0AE697","2017-07-31 04:17:00+00","26700.00"
"0AE6A5","2017-07-03 05:06:00+00","95200.00"
"0AE6B9","2017-08-11 16:44:00+00","135400.00"
"0AE6CF","2017-07-11 12:16:00+00","37900.00"
"0AE753","2017-07-06 10:31:00+00","9200.00"
"0AE756","2017-08-14 23:58:00+00","132800.00"
"0AE7CB","2017-08-07 23:35:00+00","119800.00"
"0AE7F9","2017-07-29 23:54:00+00","13800.00"
"0AE90A","2017-07-07 05:41:00+00","77600.00"
"0AE925","2017-08-02 18:07:00+00","40400.00"
"0AE963","2017-08-06 14:51:00+00","46400.00"
"0AE98A","2017-07-23 03:43:00+00","46000.00"
"0AE9C7","2017-07-21 09:25:00+00","54300.00"
"0AE9DF","2017-08-01 19:08:00+00","124200.00"
"0AEA0B","2017-07-05 10:47:00+00","37900.00"
"0AEA80","2017-07-24 17:27:00+00","26300.00"
"0AEAC7","2017-06-26 22:56:00+00","18000.00"
"0AEAF9","2017-07-28 19:44:00+00","115900.00"
"0AEB3A","2017-07-20 13:28:00+00","135200.00"
"0AEB6C","2017-07-19 21:16:00+00","45200.00"
"0AEBA0","2017-07-07 15:15:00+00","44800.00"
"0AEBBC","2017-07-07 01:39:00+00","175800.00"
"0AEC26","2017-07-20 21:31:00+00","28800.00"
"0AEC38","2017-07-02 13:00:00+00","26000.00"
"0AEC67","2017-07-08 13:47:00+00","131600.00"
"0AEC6B","2017-08-14 03:08:00+00","62800.00"
"0AEC8F","2017-07-08 21:05:00+00","73500.00"
"0AECAF","2017-07-11 03:30:00+00","39300.00"
"0AECD3","2017-07-07 18:27:00+00","80000.00"
"0AED1C","2017-07-03 17:24:00+00","25600.00"
"0AED5B","2017-07-16 08:21:00+00","92800.00"
"0AED62","2017-08-14 20:24:00+00","96300.00"
"0AED6C","2017-07-19 20:59:00+00","70600.00"
"0AEE04","2017-06-29 06:47:00+00","22000.00"
"0AEE24","2017-07-30 17:18:00+00","14400.00"
"0AEE42","2017-08-02 20:35:00+00","135200.00"
"0AEE5A","2017-07-13 13:06:00+00","86300.00"
"0AEE78","2017-07-31 17:26:00+00","270700.00"
"0AEEBB","2017-08-10 05:48:00+00","6000.00"
"0AEEC6","2017-08-11 04:54:00+00","81700.00"
"0AEFD5","2017-08-05 12:41:00+00","35200.00"
"0AF049","2017-08-01 08:14:00+00","28800.00"
"0AF0BC","2017-07-08 22:36:00+00","66000.00"
"0AF10B","2017-07-30 18:45:00+00","10600.00"
"0AF15B","2017-08-11 19:00:00+00","86900.00"
"0AF178","2017-06-29 09:31:00+00","32800.00"
"0AF1B9","2017-07-22 05:48:00+00","88000.00"
"0AF24B","2017-07-01 23:45:00+00","28800.00"
"0AF2B0","2017-08-01 04:19:00+00","54400.00"
"0AF39B","2017-07-08 04:52:00+00","38400.00"
"0AF3FB","2017-07-24 00:55:00+00","263200.00"
"0AF46D","2017-06-30 02:41:00+00","6000.00"
"0AF4EC","2017-07-15 01:47:00+00","132800.00"
"0AF4FA","2017-06-30 20:17:00+00","288900.00"
"0AF5DD","2017-08-14 11:28:00+00","142800.00"
"0AF67F","2017-07-12 12:16:00+00","129200.00"
"0AF6C5","2017-08-06 00:12:00+00","36200.00"
"0AF6C7","2017-07-19 15:44:00+00","92800.00"
"0AF6D6","2017-08-12 06:18:00+00","100000.00"
"0AF754","2017-08-08 06:52:00+00","24400.00"
"0AF7B0","2017-07-05 18:12:00+00","139500.00"
"0AF7FB","2017-08-05 13:30:00+00","52400.00"
"0AF848","2017-07-18 09:00:00+00","44700.00"
"0AF8A7","2017-07-04 16:27:00+00","20200.00"
"0AF93B","2017-08-02 01:13:00+00","38600.00"
"0AF96A","2017-08-07 21:41:00+00","23200.00"
"0AF98F","2017-07-18 01:05:00+00","46400.00"
"0AF9B5","2017-08-08 21:03:00+00","52800.00"
"0AF9CC","2017-07-04 08:50:00+00","32600.00"
"0AF9F5","2017-07-30 16:58:00+00","73500.00"
"0AFA62","2017-08-11 02:34:00+00","34100.00"
"0AFB45","2017-07-05 08:14:00+00","81800.00"
"0AFB55","2017-07-31 04:50:00+00","39800.00"
"0AFB57","2017-08-14 02:52:00+00","391800.00"
"0AFB5E","2017-07-25 15:35:00+00","78000.00"
"0AFBB2","2017-07-13 00:14:00+00","24300.00"
"0AFC14","2017-07-28 15:50:00+00","67200.00"
"0AFC65","2017-08-10 07:35:00+00","62800.00"
"0AFCCB","2017-07-23 20:41:00+00","12400.00"
"0AFCDA","2017-07-20 21:34:00+00","55700.00"
"0AFCF2","2017-07-08 05:52:00+00","139400.00"
"0AFD65","2017-08-06 22:41:00+00","87600.00"
"0AFD7C","2017-07-01 11:52:00+00","46400.00"
"0AFDAB","2017-07-14 15:13:00+00","58400.00"
"0AFEBF","2017-08-13 13:38:00+00","54400.00"
"0AFEC6","2017-07-03 23:56:00+00","29000.00"
"0AFEE6","2017-08-07 19:43:00+00","12800.00"
"0AFF58","2017-07-20 06:15:00+00","67200.00"
"0AFF7A","2017-07-06 09:32:00+00","187600.00"
"0AFFAE","2017-07-08 16:58:00+00","32400.00"
"0B0004","2017-06-26 23:23:00+00","26000.00"
"0B0006","2017-08-13 03:32:00+00","40100.00"
"0B0033","2017-07-12 01:19:00+00","138100.00"
"0B003F","2017-08-05 18:53:00+00","66600.00"
"0B0044","2017-07-04 09:49:00+00","72000.00"
"0B007D","2017-08-07 04:20:00+00","26000.00"
"0B00B9","2017-07-12 21:24:00+00","46700.00"
"0B00C2","2017-07-21 02:36:00+00","56900.00"
"0B012E","2017-08-11 02:38:00+00","135400.00"
"0B01E1","2017-07-24 19:48:00+00","56800.00"
"0B0251","2017-08-14 07:22:00+00","99200.00"
"0B0262","2017-07-28 21:40:00+00","6300.00"
"0B026A","2017-07-08 03:13:00+00","65900.00"
"0B026B","2017-08-11 17:48:00+00","94200.00"
"0B0302","2017-07-09 10:58:00+00","101500.00"
"0B03A7","2017-07-13 18:14:00+00","206100.00"
"0B03F7","2017-07-27 22:42:00+00","28000.00"
"0B0418","2017-08-08 12:56:00+00","44000.00"
"0B046E","2017-07-17 18:42:00+00","112000.00"
"0B04A6","2017-08-09 15:18:00+00","46800.00"
"0B052E","2017-07-22 00:45:00+00","45100.00"
"0B0555","2017-07-31 09:46:00+00","75300.00"
"0B057F","2017-07-02 06:22:00+00","155700.00"
"0B0592","2017-08-14 17:40:00+00","32300.00"
"0B05B7","2017-07-15 03:51:00+00","96800.00"
"0B05C9","2017-08-04 19:44:00+00","36200.00"
"0B05D2","2017-06-26 21:08:00+00","20000.00"
"0B0638","2017-07-24 10:51:00+00","133100.00"
"0B06AB","2017-08-01 23:14:00+00","119500.00"
"0B06B7","2017-07-24 03:22:00+00","52800.00"
"0B06FF","2017-08-14 07:42:00+00","47200.00"
"0B0768","2017-07-05 04:10:00+00","51000.00"
"0B07FC","2017-08-07 13:47:00+00","114700.00"
"0B0819","2017-07-10 02:49:00+00","124200.00"
"0B0868","2017-07-29 20:58:00+00","133200.00"
"0B08D8","2017-08-01 04:34:00+00","35700.00"
"0B0913","2017-07-24 11:38:00+00","123000.00"
"0B0974","2017-07-10 15:53:00+00","123900.00"
"0B0975","2017-08-15 11:53:00+00","271400.00"
"0B098E","2017-07-21 12:54:00+00","37900.00"
"0B0996","2017-08-06 12:08:00+00","91800.00"
"0B09E6","2017-07-10 04:57:00+00","81600.00"
"0B0A42","2017-08-14 09:02:00+00","156000.00"
"0B0AA5","2017-08-05 11:45:00+00","16400.00"
"0B0B1A","2017-08-05 13:46:00+00","47200.00"
"0B0B63","2017-08-07 18:49:00+00","39800.00"
"0B0B6F","2017-07-05 00:18:00+00","28000.00"
"0B0B72","2017-07-11 23:44:00+00","12600.00"
"0B0B83","2017-07-21 15:33:00+00","16400.00"
"0B0BDE","2017-07-20 23:43:00+00","97700.00"
"0B0C12","2017-07-15 22:43:00+00","52400.00"
"0B0C24","2017-07-04 08:42:00+00","137700.00"
"0B0C83","2017-07-14 11:36:00+00","233000.00"
"0B0C9C","2017-07-07 01:27:00+00","67200.00"
"0B0CA5","2017-07-06 17:22:00+00","85200.00"
"0B0D0A","2017-06-30 03:41:00+00","53600.00"
"0B0E05","2017-08-02 15:31:00+00","64300.00"
"0B0E22","2017-07-17 10:59:00+00","147700.00"
"0B0E63","2017-07-17 04:05:00+00","56000.00"
"0B0F67","2017-07-18 14:08:00+00","89700.00"
"0B0FF5","2017-07-03 14:44:00+00","32800.00"
"0B10E1","2017-07-31 13:44:00+00","11000.00"
"0B1107","2017-08-09 07:50:00+00","57500.00"
"0B11E6","2017-07-08 07:46:00+00","69500.00"
"0B1222","2017-08-13 10:14:00+00","73600.00"
"0B126C","2017-07-16 16:10:00+00","37900.00"
"0B1297","2017-08-06 07:33:00+00","26000.00"
"0B12AD","2017-07-30 13:15:00+00","26600.00"
"0B12E6","2017-07-17 01:49:00+00","35800.00"
"0B12EB","2017-07-16 17:28:00+00","53600.00"
"0B12F5","2017-07-10 18:38:00+00","92800.00"
"0B1360","2017-08-14 21:08:00+00","112000.00"
"0B13AE","2017-07-29 19:47:00+00","81600.00"
"0B13CB","2017-08-09 09:20:00+00","96800.00"
"0B13D8","2017-07-19 22:04:00+00","144400.00"
"0B13E9","2017-08-06 12:18:00+00","200200.00"
"0B1464","2017-07-22 04:16:00+00","191200.00"
"0B14CD","2017-07-27 16:48:00+00","187600.00"
"0B14E0","2017-07-25 02:16:00+00","19600.00"
"0B14EF","2017-08-10 04:43:00+00","48800.00"
"0B151A","2017-08-05 14:21:00+00","28800.00"
"0B1551","2017-07-14 16:05:00+00","16400.00"
"0B15E6","2017-08-03 01:53:00+00","102100.00"
"0B15F6","2017-07-19 13:52:00+00","24300.00"
"0B1632","2017-07-19 10:32:00+00","111600.00"
"0B1645","2017-07-27 03:57:00+00","70600.00"
"0B164F","2017-07-16 11:12:00+00","57400.00"
"0B1671","2017-07-03 02:16:00+00","102800.00"
"0B1675","2017-07-09 14:09:00+00","39300.00"
"0B1697","2017-07-19 05:44:00+00","154500.00"
"0B16FD","2017-07-28 09:35:00+00","60400.00"
"0B16FF","2017-07-10 23:07:00+00","416600.00"
"0B17FA","2017-07-13 16:30:00+00","167300.00"
"0B1814","2017-07-21 19:15:00+00","49200.00"
"0B1827","2017-08-10 14:02:00+00","28000.00"
"0B182B","2017-07-14 22:54:00+00","150600.00"
"0B1855","2017-07-03 03:36:00+00","112000.00"
"0B1879","2017-07-01 19:40:00+00","16400.00"
"0B18A8","2017-08-04 15:46:00+00","270000.00"
"0B18E1","2017-07-31 15:35:00+00","93900.00"
"0B196C","2017-07-05 09:04:00+00","40800.00"
"0B19CE","2017-07-17 09:20:00+00","60300.00"
"0B19E4","2017-07-13 02:59:00+00","38500.00"
"0B19ED","2017-08-07 15:23:00+00","129600.00"
"0B1A17","2017-07-02 03:08:00+00","27900.00"
"0B1A2C","2017-07-20 14:47:00+00","6300.00"
"0B1A4A","2017-08-10 15:26:00+00","24000.00"
"0B1AC7","2017-07-02 16:19:00+00","39800.00"
"0B1ADE","2017-07-04 08:12:00+00","47400.00"
"0B1B8B","2017-07-05 00:42:00+00","51200.00"
"0B1BF9","2017-08-10 03:57:00+00","93600.00"
"0B1C2C","2017-07-31 12:00:00+00","56100.00"
"0B1C85","2017-07-25 20:15:00+00","16000.00"
"0B1D39","2017-08-14 14:41:00+00","289800.00"
"0B1D5C","2017-07-28 22:09:00+00","75600.00"
"0B1D60","2017-08-07 21:57:00+00","43100.00"
"0B1DBA","2017-07-25 15:59:00+00","46200.00"
"0B1DD9","2017-07-20 07:55:00+00","107400.00"
"0B1E26","2017-07-24 22:37:00+00","79000.00"
"0B1E3E","2017-07-24 06:04:00+00","73600.00"
"0B1E5D","2017-07-23 23:36:00+00","60400.00"
"0B1EDA","2017-07-07 23:06:00+00","34100.00"
"0B1F3D","2017-07-08 22:10:00+00","62400.00"
"0B1F95","2017-07-27 19:05:00+00","12200.00"
"0B1FD1","2017-07-03 10:00:00+00","131100.00"
"0B20E5","2017-07-24 20:09:00+00","26200.00"
"0B20EC","2017-07-18 20:59:00+00","56000.00"
"0B2129","2017-08-10 16:45:00+00","399600.00"
"0B219E","2017-07-05 00:57:00+00","36000.00"
"0B21AF","2017-07-17 14:20:00+00","140900.00"
"0B21BA","2017-07-12 14:25:00+00","194000.00"
"0B2221","2017-07-05 18:49:00+00","28800.00"
"0B230E","2017-08-12 03:05:00+00","146300.00"
"0B231F","2017-08-04 16:27:00+00","340600.00"
"0B2322","2017-07-02 22:27:00+00","196800.00"
"0B232C","2017-07-03 05:42:00+00","195800.00"
"0B23BF","2017-08-11 11:28:00+00","47200.00"
"0B23DC","2017-07-09 15:45:00+00","14800.00"
"0B23E6","2017-08-08 22:42:00+00","28000.00"
"0B2440","2017-07-11 20:28:00+00","22000.00"
"0B2480","2017-07-25 21:06:00+00","75600.00"
"0B2491","2017-08-13 17:10:00+00","101500.00"
"0B24AB","2017-07-27 15:37:00+00","6600.00"
"0B2530","2017-07-21 23:14:00+00","96300.00"
"0B253D","2017-07-05 15:57:00+00","252200.00"
"0B253E","2017-08-12 21:26:00+00","67200.00"
"0B25AA","2017-08-12 05:13:00+00","677700.00"
"0B25C5","2017-07-04 05:41:00+00","378400.00"
"0B2660","2017-07-20 05:02:00+00","12600.00"
"0B2688","2017-07-02 18:28:00+00","66600.00"
"0B268F","2017-07-05 09:15:00+00","32800.00"
"0B2699","2017-07-25 18:26:00+00","59800.00"
"0B279A","2017-06-30 15:24:00+00","103000.00"
"0B27A1","2017-07-25 21:36:00+00","68600.00"
"0B2851","2017-08-01 07:41:00+00","269300.00"
"0B287F","2017-08-15 02:17:00+00","8000.00"
"0B28CE","2017-06-28 07:56:00+00","46300.00"
"0B2938","2017-07-07 22:45:00+00","72300.00"
"0B2986","2017-07-02 13:01:00+00","54800.00"
"0B2995","2017-08-01 19:18:00+00","299600.00"
"0B29B1","2017-07-25 13:09:00+00","48100.00"
"0B29DD","2017-07-25 02:44:00+00","43000.00"
"0B29F3","2017-07-25 22:44:00+00","248400.00"
"0B2A6C","2017-07-11 02:35:00+00","176400.00"
"0B2A81","2017-07-06 01:50:00+00","21800.00"
"0B2A87","2017-07-25 04:10:00+00","136800.00"
"0B2AF9","2017-08-11 22:13:00+00","186200.00"
"0B2B21","2017-07-21 09:33:00+00","23600.00"
"0B2B71","2017-07-10 09:16:00+00","25600.00"
"0B2B78","2017-07-27 03:04:00+00","28600.00"
"0B2BA7","2017-07-09 09:51:00+00","136200.00"
"0B2BD4","2017-08-09 02:06:00+00","19800.00"
"0B2BF2","2017-07-14 13:33:00+00","70200.00"
"0B2BFC","2017-08-09 06:39:00+00","95700.00"
"0B2C61","2017-07-09 03:17:00+00","147000.00"
"0B2C84","2017-07-21 21:46:00+00","174400.00"
"0B2CEF","2017-08-15 12:15:00+00","147000.00"
"0B2CF4","2017-07-04 02:36:00+00","112000.00"
"0B2D07","2017-08-07 05:25:00+00","45200.00"
"0B2D1E","2017-07-14 10:32:00+00","50300.00"
"0B2D3E","2017-07-02 04:37:00+00","27200.00"
"0B2D49","2017-07-28 17:52:00+00","35200.00"
"0B2DCB","2017-07-20 09:58:00+00","44000.00"
"0B2E05","2017-07-26 05:17:00+00","266400.00"
"0B2E0B","2017-08-13 06:37:00+00","120400.00"
"0B2E43","2017-07-10 19:23:00+00","26800.00"
"0B2E7E","2017-07-09 01:51:00+00","136200.00"
"0B2E97","2017-08-13 18:18:00+00","39800.00"
"0B2EAE","2017-08-10 04:27:00+00","81400.00"
"0B2EBD","2017-07-16 10:45:00+00","96100.00"
"0B2F63","2017-07-15 22:26:00+00","128800.00"
"0B2F80","2017-08-02 07:39:00+00","59800.00"
"0B2F8C","2017-08-07 19:44:00+00","146300.00"
"0B2F9C","2017-07-23 10:22:00+00","169900.00"
"0B2FA3","2017-08-10 23:03:00+00","18000.00"
"0B2FB4","2017-08-15 09:15:00+00","65900.00"
"0B2FDC","2017-08-04 15:38:00+00","12600.00"
"0B2FE2","2017-07-04 09:22:00+00","40000.00"
"0B2FE5","2017-07-29 12:43:00+00","181600.00"
"0B30B8","2017-07-11 02:58:00+00","13300.00"
"0B3143","2017-07-09 08:09:00+00","113600.00"
"0B31D0","2017-08-11 16:07:00+00","6000.00"
"0B31D7","2017-08-12 15:23:00+00","66600.00"
"0B31F6","2017-08-07 22:35:00+00","89700.00"
"0B321F","2017-06-24 14:18:00+00","70800.00"
"0B32BB","2017-08-11 13:37:00+00","23200.00"
"0B32BE","2017-08-07 04:56:00+00","111700.00"
"0B32CE","2017-07-19 07:54:00+00","10800.00"
"0B32DB","2017-07-14 11:37:00+00","26000.00"
"0B32E6","2017-07-31 15:38:00+00","89600.00"
"0B3363","2017-08-14 04:06:00+00","21200.00"
"0B33BD","2017-07-12 02:41:00+00","9800.00"
"0B3440","2017-07-27 13:34:00+00","6800.00"
"0B34A2","2017-07-05 21:46:00+00","192800.00"
"0B34CF","2017-07-05 18:21:00+00","28800.00"
"0B34DF","2017-07-18 12:22:00+00","210600.00"
"0B3506","2017-08-09 01:45:00+00","37600.00"
"0B3540","2017-08-14 22:13:00+00","53700.00"
"0B3559","2017-07-03 17:34:00+00","48800.00"
"0B3580","2017-07-13 23:31:00+00","68000.00"
"0B3586","2017-07-14 00:37:00+00","30600.00"
"0B358B","2017-07-11 20:22:00+00","125100.00"
"0B3598","2017-07-24 08:08:00+00","16400.00"
"0B363F","2017-07-14 22:28:00+00","56000.00"
"0B368D","2017-07-11 07:31:00+00","123000.00"
"0B36A3","2017-07-15 15:33:00+00","20400.00"
"0B36EB","2017-07-21 22:08:00+00","231600.00"
"0B3773","2017-08-01 16:08:00+00","44500.00"
"0B378C","2017-06-28 22:23:00+00","28800.00"
"0B37CC","2017-07-05 06:27:00+00","26800.00"
"0B381A","2017-07-18 00:00:00+00","37700.00"
"0B3851","2017-07-20 10:31:00+00","92900.00"
"0B38C6","2017-08-05 15:12:00+00","11600.00"
"0B38D4","2017-07-24 21:13:00+00","79900.00"
"0B3900","2017-07-24 02:26:00+00","84500.00"
"0B393B","2017-07-05 04:06:00+00","11300.00"
"0B3947","2017-07-18 02:34:00+00","123000.00"
"0B3948","2017-07-25 23:55:00+00","93700.00"
"0B3972","2017-07-22 01:42:00+00","135400.00"
"0B39FF","2017-08-01 11:06:00+00","18900.00"
"0B3A21","2017-07-08 18:02:00+00","110000.00"
"0B3A35","2017-07-29 21:48:00+00","89700.00"
"0B3A43","2017-07-24 18:03:00+00","56600.00"
"0B3AB3","2017-07-31 14:39:00+00","51800.00"
"0B3AFB","2017-07-05 13:14:00+00","271100.00"
"0B3B1D","2017-08-04 19:10:00+00","37800.00"
"0B3B48","2017-07-27 07:51:00+00","173200.00"
"0B3B85","2017-07-29 22:44:00+00","57400.00"
"0B3BA5","2017-07-24 04:54:00+00","88100.00"
"0B3C4B","2017-07-24 07:55:00+00","79400.00"
"0B3CC2","2017-08-05 00:55:00+00","136500.00"
"0B3D15","2017-08-03 10:09:00+00","55800.00"
"0B3D29","2017-07-15 21:12:00+00","75800.00"
"0B3E92","2017-07-31 06:26:00+00","38200.00"
"0B3F0F","2017-07-12 05:06:00+00","8200.00"
"0B3F72","2017-08-04 19:06:00+00","52100.00"
"0B3FE0","2017-07-20 05:32:00+00","43500.00"
"0B3FF5","2017-07-07 05:29:00+00","142400.00"
"0B3FFA","2017-08-09 06:05:00+00","347100.00"
"0B403D","2017-07-22 12:35:00+00","57300.00"
"0B40A3","2017-07-25 14:25:00+00","81700.00"
"0B40C6","2017-08-14 22:55:00+00","26800.00"
"0B40CE","2017-07-26 14:34:00+00","121700.00"
"0B40D8","2017-08-02 17:52:00+00","21800.00"
"0B416D","2017-07-18 03:39:00+00","46400.00"
"0B41B7","2017-07-20 09:25:00+00","174100.00"
"0B41D3","2017-08-04 07:20:00+00","119200.00"
"0B4206","2017-07-18 20:54:00+00","29600.00"
"0B426A","2017-07-11 07:10:00+00","112000.00"
"0B42AE","2017-07-24 21:19:00+00","53300.00"
"0B4339","2017-07-08 04:51:00+00","398500.00"
"0B435D","2017-08-05 20:20:00+00","17200.00"
"0B4366","2017-07-21 00:17:00+00","131100.00"
"0B4402","2017-07-03 09:38:00+00","22400.00"
"0B440B","2017-07-08 18:58:00+00","29600.00"
"0B442A","2017-07-30 16:35:00+00","17800.00"
"0B443F","2017-08-12 01:28:00+00","36200.00"
"0B448E","2017-07-21 17:48:00+00","229800.00"
"0B44AB","2017-07-10 10:06:00+00","41800.00"
"0B452E","2017-07-04 11:41:00+00","111600.00"
"0B455B","2017-07-23 01:29:00+00","24500.00"
"0B45DC","2017-07-11 05:05:00+00","50600.00"
"0B45E2","2017-07-16 21:22:00+00","27200.00"
"0B467A","2017-07-11 00:24:00+00","81900.00"
"0B4684","2017-08-09 00:38:00+00","86800.00"
"0B46A7","2017-07-24 08:26:00+00","123000.00"
"0B4705","2017-07-22 16:00:00+00","28800.00"
"0B471C","2017-08-07 06:00:00+00","65900.00"
"0B471D","2017-08-13 02:19:00+00","72400.00"
"0B473E","2017-08-09 10:25:00+00","133200.00"
"0B4749","2017-08-08 18:22:00+00","20200.00"
"0B4751","2017-07-22 22:18:00+00","205600.00"
"0B47A5","2017-08-05 15:25:00+00","24700.00"
"0B47E9","2017-08-14 04:58:00+00","115600.00"
"0B481C","2017-07-10 10:22:00+00","46300.00"
"0B4848","2017-07-21 02:22:00+00","25800.00"
"0B485C","2017-06-27 23:45:00+00","23600.00"
"0B48E7","2017-08-11 15:16:00+00","37200.00"
"0B48FA","2017-08-09 04:57:00+00","23400.00"
"0B4904","2017-07-20 03:26:00+00","46000.00"
"0B490D","2017-07-17 04:17:00+00","206700.00"
"0B494D","2017-08-05 05:34:00+00","46900.00"
"0B49DA","2017-07-22 18:29:00+00","6700.00"
"0B4A29","2017-07-10 20:19:00+00","40000.00"
"0B4AFC","2017-08-11 14:51:00+00","57400.00"
"0B4B45","2017-06-28 23:56:00+00","14800.00"
"0B4B5E","2017-08-10 15:39:00+00","200800.00"
"0B4B6C","2017-07-23 07:57:00+00","167400.00"
"0B4B97","2017-08-01 11:47:00+00","118600.00"
"0B4C0F","2017-07-07 07:24:00+00","26000.00"
"0B4C63","2017-08-09 05:15:00+00","25800.00"
"0B4C82","2017-08-11 23:55:00+00","31100.00"
"0B4C8C","2017-07-14 07:17:00+00","289300.00"
"0B4CF1","2017-07-06 03:11:00+00","133700.00"
"0B4D2E","2017-08-04 07:45:00+00","49400.00"
"0B4D46","2017-07-09 01:14:00+00","24800.00"
"0B4D49","2017-08-02 21:44:00+00","14800.00"
"0B4D84","2017-08-13 17:49:00+00","62400.00"
"0B4DBF","2017-08-04 18:59:00+00","92800.00"
"0B4DE0","2017-08-08 07:32:00+00","56900.00"
"0B4E4A","2017-08-10 14:14:00+00","93900.00"
"0B4E88","2017-08-05 11:35:00+00","280700.00"
"0B4ED1","2017-07-21 18:11:00+00","95200.00"
"0B4EEC","2017-08-03 13:16:00+00","53000.00"
"0B4FD1","2017-07-26 16:41:00+00","84600.00"
"0B501E","2017-07-14 16:49:00+00","60700.00"
"0B5052","2017-08-15 10:40:00+00","28600.00"
"0B5075","2017-06-30 07:48:00+00","19800.00"
"0B50B2","2017-07-22 02:24:00+00","39200.00"
"0B50C1","2017-07-19 16:31:00+00","30000.00"
"0B51AD","2017-08-08 03:56:00+00","167400.00"
"0B51F8","2017-07-09 17:48:00+00","6000.00"
"0B5221","2017-07-17 10:14:00+00","46400.00"
"0B5255","2017-08-07 16:48:00+00","30400.00"
"0B52BD","2017-08-14 22:02:00+00","92800.00"
"0B52F7","2017-07-11 08:48:00+00","112100.00"
"0B5304","2017-07-11 20:58:00+00","132800.00"
"0B5331","2017-07-27 19:48:00+00","66600.00"
"0B5353","2017-07-20 19:28:00+00","56000.00"
"0B5356","2017-08-14 03:53:00+00","81700.00"
"0B5383","2017-07-06 02:20:00+00","20200.00"
"0B5447","2017-08-13 18:42:00+00","11600.00"
"0B546C","2017-08-08 10:44:00+00","138000.00"
"0B549B","2017-07-17 19:27:00+00","233800.00"
"0B552B","2017-07-28 15:43:00+00","59800.00"
"0B557D","2017-07-11 23:24:00+00","12000.00"
"0B55B0","2017-07-06 02:32:00+00","39300.00"
"0B55CD","2017-08-03 09:30:00+00","14400.00"
"0B5636","2017-07-26 21:30:00+00","48800.00"
"0B563A","2017-07-08 17:17:00+00","46000.00"
"0B5658","2017-08-02 16:58:00+00","123000.00"
"0B5685","2017-07-21 11:30:00+00","29600.00"
"0B56DC","2017-08-07 08:32:00+00","23600.00"
"0B57AA","2017-07-08 00:25:00+00","92100.00"
"0B57E6","2017-08-13 07:07:00+00","111600.00"
"0B5937","2017-08-08 03:14:00+00","166000.00"
"0B5969","2017-07-14 14:29:00+00","399600.00"
"0B5992","2017-07-23 02:44:00+00","28800.00"
"0B59D7","2017-07-28 17:20:00+00","56000.00"
"0B59DC","2017-07-12 01:25:00+00","17600.00"
"0B5A37","2017-07-16 01:04:00+00","177300.00"
"0B5A3F","2017-08-11 13:27:00+00","65900.00"
"0B5A44","2017-07-30 05:01:00+00","123000.00"
"0B5A76","2017-07-23 12:41:00+00","52000.00"
"0B5AAD","2017-07-02 21:06:00+00","50800.00"
"0B5AB1","2017-08-05 17:03:00+00","73500.00"
"0B5B04","2017-07-10 11:55:00+00","39300.00"
"0B5B24","2017-07-23 22:48:00+00","169900.00"
"0B5B61","2017-07-14 07:32:00+00","139100.00"
"0B5B96","2017-08-03 09:53:00+00","39200.00"
"0B5BAB","2017-08-12 20:27:00+00","394800.00"
"0B5BF0","2017-07-28 15:38:00+00","46200.00"
"0B5C30","2017-07-12 06:04:00+00","23600.00"
"0B5CD4","2017-07-05 05:16:00+00","115700.00"
"0B5CD5","2017-08-13 01:15:00+00","35600.00"
"0B5D35","2017-07-24 20:47:00+00","23200.00"
"0B5DC6","2017-07-18 11:40:00+00","58600.00"
"0B5E33","2017-08-08 18:04:00+00","65500.00"
"0B5E5C","2017-07-09 11:11:00+00","427600.00"
"0B5E64","2017-07-25 22:36:00+00","132800.00"
"0B5E6F","2017-07-01 06:50:00+00","55800.00"
"0B5EAA","2017-07-22 02:40:00+00","61200.00"
"0B5F41","2017-07-29 10:19:00+00","20400.00"
"0B5F4B","2017-07-17 02:44:00+00","9800.00"
"0B5F9D","2017-08-04 16:04:00+00","24400.00"
"0B5FA2","2017-07-30 22:30:00+00","34100.00"
"0B5FFA","2017-07-12 21:46:00+00","93900.00"
"0B6002","2017-08-03 01:10:00+00","28000.00"
"0B6004","2017-07-30 20:51:00+00","56000.00"
"0B605E","2017-07-13 20:49:00+00","56000.00"
"0B60C1","2017-07-15 03:43:00+00","21200.00"
"0B60DD","2017-08-14 08:04:00+00","66000.00"
"0B614B","2017-07-26 07:18:00+00","46800.00"
"0B6155","2017-07-13 11:36:00+00","31400.00"
"0B61E9","2017-07-25 10:51:00+00","114400.00"
"0B61FD","2017-07-16 02:02:00+00","31400.00"
"0B620C","2017-07-19 03:09:00+00","193600.00"
"0B6220","2017-08-12 21:28:00+00","67000.00"
"0B62C2","2017-07-08 00:44:00+00","23200.00"
"0B6356","2017-07-22 01:44:00+00","56100.00"
"0B63A4","2017-07-20 20:30:00+00","20400.00"
"0B63AA","2017-07-23 21:16:00+00","7400.00"
"0B63AF","2017-08-07 11:07:00+00","104800.00"
"0B63DE","2017-07-12 01:37:00+00","283000.00"
"0B63F6","2017-07-06 04:44:00+00","174900.00"
