"ticket_no","flight_id","boarding_no","seat_no"
"0005434876836",14596,28,"7D"
"0005434876839",14596,29,"7F"
"0005434876753",14596,30,"8B"
"0005434876846",14596,31,"8E"
"0005434876773",14596,32,"8C"
"0005434876814",14596,33,"9A"
"0005434876761",14596,34,"9C"
"0005434876796",14596,35,"9B"
"0005434876818",14596,36,"9E"
"0005434876780",14596,37,"9D"
"0005434876762",14596,38,"10A"
"0005434876756",14596,39,"10C"
"0005434876799",14596,40,"10B"
"0005434876759",14596,41,"10E"
"0005434876826",14596,42,"10D"
"0005434876794",14596,43,"11A"
"0005434876841",14596,44,"10F"
"0005434876840",14596,45,"11D"
"0005434876825",14596,46,"11C"
"0005434876833",14596,47,"11F"
"0005434876779",14596,48,"11E"
"0005434876769",14596,49,"12A"
"0005434876831",14596,50,"12D"
"0005434876795",14596,51,"12C"
"0005434876767",14596,52,"12F"
"0005434876782",14596,53,"12E"
"0005434876752",14596,54,"13A"
"0005434876809",14596,55,"13C"
"0005434876791",14596,56,"13D"
"0005434876828",14596,57,"14A"
"0005434876805",14596,58,"13F"
"0005434758858",14596,59,"14B"
"0005434876816",14596,60,"14D"
"0005434876786",14596,61,"14C"
"0005434876763",14596,62,"14F"
"0005434876819",14596,63,"14E"
"0005434876801",14596,64,"15B"
"0005434876781",14596,65,"15A"
"0005434876803",14596,66,"15D"
"0005434876838",14596,67,"15C"
"0005434876785",14596,68,"15F"
"0005434876842",14596,69,"15E"
"0005434876757",14596,70,"16A"
"0005434876802",14596,71,"16C"
"0005434876768",14596,72,"16D"
"0005434876764",14596,73,"16F"
"0005434876837",14596,74,"17B"
"0005434876792",14596,75,"17A"
"0005434876775",14596,76,"17D"
"0005434876820",14596,77,"17C"
"0005434876843",14596,78,"17F"
"0005434876783",14596,79,"17E"
"0005434876778",14596,80,"18A"
"0005434876754",14596,81,"18C"
"0005434876784",14596,82,"18E"
"0005434876810",14596,83,"18D"
"0005434876749",14596,84,"19A"
"0005434876766",14596,85,"18F"
"0005434758857",14596,86,"19C"
"0005434876755",14596,87,"19B"
"0005434876774",14596,88,"19E"
"0005434876808",14596,89,"19D"
"0005434876822",14596,90,"19F"
"0005434876829",14596,91,"20B"
"0005434876772",14596,92,"20D"
"0005434876788",14596,93,"20C"
"0005434876812",14596,94,"20F"
"0005434876821",14596,95,"20E"
"0005434876760",14596,96,"21B"
"0005434876834",14596,97,"21D"
"0005434876823",14596,98,"21C"
"0005434876845",14596,99,"21E"
"0005434876817",14596,100,"21F"
"0005435659962",9233,1,"1A"
"0005435659965",9233,2,"4A"
"0005435659964",9233,3,"4C"
"0005435659968",9233,4,"6C"
"0005435659970",9233,5,"6D"
"0005435659963",9233,6,"7D"
"0005435659960",9233,7,"18B"
"0005435659966",9233,8,"20A"
"0005435659961",9233,9,"20C"
"0005435659967",9233,10,"21B"
"0005435659969",9233,11,"21C"
"0005434251824",24661,1,"1B"
"0005434251822",24661,2,"1C"
"0005434251817",24661,3,"1D"
"0005434251815",24661,4,"3B"
"0005434251823",24661,5,"3D"
"0005434251821",24661,6,"18C"
"0005434251820",24661,7,"19C"
"0005434251818",24661,8,"20C"
"0005434251819",24661,9,"21D"
"0005434251816",24661,10,"23B"
"0005433679820",2767,1,"1A"
"0005433679841",2767,2,"1C"
"0005433679812",2767,3,"1D"
"0005433679853",2767,4,"2A"
"0005433679813",2767,5,"2C"
"0005433679834",2767,6,"3A"
"0005433679835",2767,7,"2F"
"0005433679815",2767,8,"3D"
"0005433679842",2767,9,"4C"
"0005432222701",2767,10,"4E"
"0005432222699",2767,11,"4F"
"0005433679816",2767,12,"5A"
"0005433679849",2767,13,"5C"
"0005433679819",2767,14,"5D"
"0005432222700",2767,15,"5E"
"0005433679817",2767,16,"6C"
"0005433679822",2767,17,"8A"
"0005433679850",2767,18,"8D"
"0005433679847",2767,19,"8F"
"0005433679809",2767,20,"9C"
"0005433679827",2767,21,"9D"
"0005433679839",2767,22,"9E"
"0005432222702",2767,23,"10A"
"0005433679845",2767,24,"10C"
"0005433679848",2767,25,"10E"
"0005433679823",2767,26,"10F"
"0005433679808",2767,27,"11C"
"0005433679844",2767,28,"11E"
"0005433679825",2767,29,"11F"
"0005433679821",2767,30,"12C"
"0005433684387",2767,31,"12D"
"0005433679826",2767,32,"12E"
"0005433679829",2767,33,"12F"
"0005433679838",2767,34,"13A"
"0005433679852",2767,35,"13C"
"0005433679830",2767,36,"13D"
"0005433679811",2767,37,"13E"
"0005433679807",2767,38,"14A"
"0005433679843",2767,39,"14C"
"0005432222698",2767,40,"14D"
"0005433679828",2767,41,"15C"
"0005433684386",2767,42,"15E"
"0005433679818",2767,43,"15F"
"0005433679854",2767,44,"17A"
"0005433679851",2767,45,"17D"
"0005433679837",2767,46,"17E"
"0005433684388",2767,47,"17F"
"0005433679833",2767,48,"18A"
"0005433679840",2767,49,"18E"
"0005433679832",2767,50,"19A"
"0005433679824",2767,51,"19C"
"0005433679846",2767,52,"19D"
"0005433679814",2767,53,"19E"
"0005433679831",2767,54,"19F"
"0005433679810",2767,55,"20E"
"0005433679836",2767,56,"20F"
"0005432966533",29178,1,"2D"
"0005432966534",29178,2,"3D"
"0005432966536",29178,3,"3F"
"0005432966547",29178,4,"4C"
"0005432966538",29178,5,"4E"
"0005432966537",29178,6,"5C"
"0005432966535",29178,7,"5D"
"0005432005171",29178,8,"5E"
"0005432966553",29178,9,"6C"
"0005432966546",29178,10,"6E"
"0005432966539",29178,11,"6F"
"0005432966541",29178,12,"7A"
"0005432966542",29178,13,"8F"
"0005432005172",29178,14,"10C"
"0005432966554",29178,15,"10E"
"0005432966540",29178,16,"10F"
"0005432005170",29178,17,"11C"
"0005432005169",29178,18,"12C"
"0005432966555",29178,19,"12D"
"0005432966549",29178,20,"12F"
"0005432966545",29178,21,"13C"
"0005432966552",29178,22,"13D"
"0005432966557",29178,23,"14D"
"0005432966544",29178,24,"14F"
"0005432966550",29178,25,"15D"
"0005432966551",29178,26,"16E"
"0005432966556",29178,27,"17C"
"0005432966548",29178,28,"19C"
"0005432966543",29178,29,"19D"
"0005432966532",29178,30,"19E"
"0005433633268",9276,1,"1A"
"0005433613521",9276,2,"1F"
"0005433577590",9276,3,"2A"
"0005433613486",9276,4,"2D"
"0005433613477",9276,5,"2C"
"0005433633250",9276,6,"2F"
"0005433613475",9276,7,"3C"
"0005433577589",9276,8,"3F"
"0005433633280",9276,9,"3D"
"0005433613495",9276,10,"4A"
"0005433613516",9276,11,"4C"
"0005433613481",9276,12,"5A"
"0005433613530",9276,13,"5F"
"0005433633272",9276,14,"5D"
"0005433633256",9276,15,"6A"
"0005433577591",9276,16,"6D"
"0005433633270",9276,17,"6F"
"0005433613527",9276,18,"7F"
"0005433613507",9276,19,"8B"
"0005433613469",9276,20,"8D"
"0005433613534",9276,21,"8C"
"0005433633276",9276,22,"8E"
"0005433577595",9276,23,"8F"
"0005433633271",9276,24,"9A"
"0005433613498",9276,25,"9C"
"0005433613482",9276,26,"9D"
"0005433613470",9276,27,"9E"
"0005433633265",9276,28,"10A"
"0005433633277",9276,29,"10B"
"0005433613518",9276,30,"10D"
"0005433613526",9276,31,"10C"
"0005433613480",9276,32,"10F"
"0005433633259",9276,33,"10E"
"0005433613461",9276,34,"11B"
"0005433633279",9276,35,"11C"
"0005433613522",9276,36,"11D"
"0005433613512",9276,37,"11F"
"0005433633253",9276,38,"11E"
"0005433613485",9276,39,"12A"
"0005433613483",9276,40,"12B"
"0005433577597",9276,41,"12C"
"0005433613532",9276,42,"12D"
"0005433633258",9276,43,"12F"
"0005433633261",9276,44,"12E"
"0005433613519",9276,45,"13A"
"0005433577588",9276,46,"13C"
"0005433613506",9276,47,"13D"
"0005433633278",9276,48,"13E"
"0005432756795",9276,49,"14A"
"0005433633266",9276,50,"13F"
"0005432756796",9276,51,"14D"
"0005433633251",9276,52,"14C"
"0005432755025",9276,53,"14E"
"0005433633262",9276,54,"14F"
"0005433633273",9276,55,"15A"
"0005433633252",9276,56,"15C"
"0005433633263",9276,57,"15B"
"0005433613523",9276,58,"15E"
"0005433633281",9276,59,"16A"
"0005433577593",9276,60,"15F"
"0005433633267",9276,61,"16C"
"0005433613478",9276,62,"16D"
"0005433613465",9276,63,"17B"
"0005433613490",9276,64,"17A"
"0005433613535",9276,65,"17D"
"0005433577601",9276,66,"17F"
"0005433613515",9276,67,"17E"
"0005433633257",9276,68,"18A"
"0005433613476",9276,69,"18B"
"0005433613517",9276,70,"18D"
"0005433633249",9276,71,"18C"
"0005433613505",9276,72,"18E"
"0005433613468",9276,73,"19B"
"0005433613502",9276,74,"19C"
"0005433613493",9276,75,"19E"
"0005433613508",9276,76,"20B"
"0005433613471",9276,77,"20A"
"0005432145078",9276,78,"20C"
"0005433613467",9276,79,"20D"
"0005433613513",9276,80,"20F"
"0005433613510",9276,81,"21D"
"0005433613474",9276,82,"21C"
"0005433633248",9276,83,"21E"
"0005433613499",9276,84,"21F"
"0005433613511",9276,85,"22B"
"0005432756794",9276,86,"22D"
"0005433613533",9276,87,"22C"
"0005433613472",9276,88,"22E"
"0005433633254",9276,89,"23B"
"0005433633255",9276,90,"23D"
"0005433613524",9276,91,"23E"
"0005433613491",9276,92,"24B"
"0005433577598",9276,93,"24A"
"0005433613466",9276,94,"24D"
"0005433633260",9276,95,"24C"
"0005433577592",9276,96,"24F"
"0005433613463",9276,97,"24E"
"0005433613525",9276,98,"25B"
"0005433577594",9276,99,"25A"
"0005433613509",9276,100,"25C"
"0005433613462",9276,101,"25D"
"0005433613504",9276,102,"25E"
"0005433613464",9276,103,"26A"
"0005433577599",9276,104,"25F"
"0005433613492",9276,105,"26C"
"0005433613479",9276,106,"26B"
"0005433633275",9276,107,"26E"
"0005433613487",9276,108,"26D"
"0005433633274",9276,109,"27B"
"0005433613528",9276,110,"27A"
"0005433613494",9276,111,"27C"
"0005433613529",9276,112,"27D"
"0005433613520",9276,113,"27E"
"0005433577596",9276,114,"28A"
"0005433633269",9276,115,"27F"
"0005433633282",9276,116,"28B"
"0005433613496",9276,117,"28C"
"0005433613500",9276,118,"28E"
"0005432755023",9276,119,"28D"
"0005433577600",9276,120,"28F"
"0005433613489",9276,121,"29A"
"0005432755021",9276,122,"29E"
"0005432755022",9276,123,"29D"
"0005433633264",9276,124,"30A"
"0005433613514",9276,125,"30B"
"0005433613488",9276,126,"30C"
"0005433613501",9276,127,"30E"
"0005432755024",9276,128,"30D"
"0005433613473",9276,129,"30F"
"0005433613531",9276,130,"31B"
"0005433577602",9276,131,"31A"
"0005433613497",9276,132,"31E"
"0005433613503",9276,133,"31D"
"0005433613484",9276,134,"31F"
"0005434163474",25237,1,"3C"
"0005434163477",25237,2,"5D"
"0005434273049",25237,3,"8D"
"0005434163471",25237,4,"9F"
"0005434163472",25237,5,"10A"
"0005434273048",25237,6,"12F"
"0005434163480",25237,7,"13C"
"0005434163473",25237,8,"13B"
"0005434272163",25237,9,"16D"
"0005434163470",25237,10,"17D"
"0005434163479",25237,11,"21C"
"0005434272164",25237,12,"25C"
"0005434163475",25237,13,"27D"
"0005434163476",25237,14,"30A"
"0005434163478",25237,15,"31D"
"0005435986658",4205,1,"1F"
"0005432184906",4205,2,"1H"
"0005435986657",4205,3,"3H"
"0005435986663",4205,4,"9B"
"0005435986660",4205,5,"18G"
"0005435986667",4205,6,"23B"
"0005432184907",4205,7,"23F"
"0005435986665",4205,8,"24A"
"0005435986662",4205,9,"24F"
"0005435986668",4205,10,"25F"
"0005435986669",4205,11,"28A"
"0005435986664",4205,12,"29H"
"0005435986659",4205,13,"33D"
"0005432184908",4205,14,"36D"
"0005435986666",4205,15,"36H"
"0005435986661",4205,16,"38E"
"0005435947032",26564,1,"1H"
"0005435947029",26564,2,"4A"
"0005435947040",26564,3,"4B"
"0005435947038",26564,4,"12H"
"0005435947034",26564,5,"15D"
"0005435947033",26564,6,"17A"
"0005435856138",26564,7,"19H"
"0005435947030",26564,8,"23A"
"0005435947035",26564,9,"22H"
"0005432571265",26564,10,"28G"
"0005435856139",26564,11,"28F"
"0005435947028",26564,12,"29D"
"0005435947026",26564,13,"30F"
"0005435947039",26564,14,"30H"
"0005435947027",26564,15,"31G"
"0005432571264",26564,16,"33B"
"0005435947031",26564,17,"33E"
"0005432571266",26564,18,"35B"
"0005435856141",26564,19,"35A"
"0005435947036",26564,20,"36A"
"0005435947041",26564,21,"37B"
"0005432571267",26564,22,"37H"
"0005435856140",26564,23,"39E"
"0005435947037",26564,24,"39F"
"0005433568188",358,1,"1A"
"0005433568187",358,2,"1D"
"0005433568134",358,3,"3F"
"0005433568126",358,4,"4A"
"0005432238840",358,5,"4F"
"0005433568165",358,6,"4D"
"0005433568190",358,7,"5A"
"0005433568173",358,8,"5C"
"0005433568147",358,9,"5D"
"0005433568135",358,10,"6C"
"0005433568136",358,11,"6F"
"0005433568144",358,12,"6D"
"0005433568183",358,13,"7D"
"0005433568129",358,14,"8A"
"0005433568167",358,15,"8B"
"0005433568162",358,16,"8E"
"0005433568164",358,17,"9D"
"0005433568139",358,18,"9E"
"0005433568184",358,19,"10A"
"0005433568149",358,20,"10D"
"0005433568142",358,21,"10C"
"0005433568163",358,22,"10E"
"0005433568185",358,23,"11B"
"0005433568157",358,24,"11C"
"0005433568156",358,25,"12D"
"0005433568125",358,26,"13C"
"0005433568160",358,27,"13D"
"0005433568170",358,28,"13E"
"0005433568153",358,29,"14C"
"0005433568189",358,30,"14E"
"0005433568152",358,31,"15A"
"0005433568151",358,32,"15D"
"0005433568180",358,33,"15E"
"0005433568186",358,34,"16A"
"0005433568182",358,35,"16D"
"0005433568140",358,36,"16C"
"0005433568141",358,37,"16E"
"0005433568169",358,38,"16F"
"0005433568158",358,39,"17A"
"0005433568178",358,40,"17B"
"0005433568159",358,41,"17D"
"0005433568150",358,42,"18A"
"0005433568138",358,43,"19B"
"0005433568176",358,44,"20A"
"0005433568128",358,45,"20C"
"0005433568191",358,46,"21B"
"0005432238843",358,47,"21C"
"0005433568168",358,48,"21F"
"0005433568175",358,49,"22E"
"0005433568143",358,50,"22D"
"0005433568132",358,51,"23B"
"0005433568181",358,52,"23D"
"0005433568161",358,53,"23F"
"0005433568145",358,54,"24C"
"0005433568172",358,55,"24E"
"0005433568127",358,56,"25C"
"0005433568137",358,57,"25F"
"0005433568179",358,58,"25E"
"0005433568130",358,59,"26A"
"0005433568154",358,60,"26B"
"0005433568177",358,61,"26D"
"0005432238845",358,62,"27A"
"0005432238842",358,63,"27D"
"0005433568166",358,64,"27F"
"0005433568171",358,65,"28B"
"0005433568131",358,66,"29A"
"0005432238844",358,67,"29E"
"0005433568146",358,68,"29F"
"0005432238841",358,69,"30B"
"0005433568155",358,70,"30C"
"0005433568148",358,71,"30E"
"0005433568124",358,72,"30F"
"0005433568174",358,73,"31B"
"0005433568133",358,74,"31E"
"0005433074278",11570,1,"1D"
"0005433074283",11570,2,"2C"
"0005432947812",11570,3,"3A"
"0005432947834",11570,4,"2F"
"0005432947842",11570,5,"4A"
"0005432947839",11570,6,"4C"
"0005432192270",11570,7,"5A"
"0005433074267",11570,8,"4F"
"0005433074264",11570,9,"5C"
"0005432947811",11570,10,"6F"
"0005432947829",11570,11,"7A"
"0005432947840",11570,12,"7F"
"0005432947809",11570,13,"7D"
"0005432947832",11570,14,"8A"
"0005433131635",11570,15,"8B"
"0005432192272",11570,16,"8F"
"0005433074280",11570,17,"9A"
"0005432947820",11570,18,"9E"
"0005433134065",11570,19,"10A"
"0005433134069",11570,20,"10B"
"0005432947805",11570,21,"10C"
"0005432947830",11570,22,"10E"
"0005432947831",11570,23,"10F"
"0005432947838",11570,24,"11A"
"0005433074260",11570,25,"11F"
"0005433074276",11570,26,"12A"
"0005433074269",11570,27,"12D"
"0005433074263",11570,28,"13A"
"0005432947836",11570,29,"12F"
"0005432947843",11570,30,"13C"
"0005433074282",11570,31,"13F"
"0005432947833",11570,32,"13E"
"0005432947841",11570,33,"14A"
"0005432947845",11570,34,"14B"
"0005433074274",11570,35,"14D"
"0005433131637",11570,36,"14C"
"0005433074262",11570,37,"14E"
"0005433074271",11570,38,"14F"
"0005433074272",11570,39,"15E"
"0005433131638",11570,40,"16D"
"0005432947837",11570,41,"16F"
"0005432947814",11570,42,"17B"
"0005433131636",11570,43,"19B"
"0005433074268",11570,44,"19D"
"0005433074266",11570,45,"20A"
"0005432947835",11570,46,"20C"
"0005433134068",11570,47,"20D"
"0005432947808",11570,48,"21A"
"0005432947823",11570,49,"20F"
"0005432947844",11570,50,"21B"
"0005432947806",11570,51,"21D"
"0005432947815",11570,52,"21C"
"0005433074256",11570,53,"22A"
"0005432947826",11570,54,"21F"
"0005433134066",11570,55,"22D"
"0005432947828",11570,56,"22F"
"0005433074275",11570,57,"23B"
"0005432947816",11570,58,"23D"
"0005433074270",11570,59,"23E"
"0005432947827",11570,60,"24A"
"0005432192271",11570,61,"24B"
"0005432947822",11570,62,"24D"
"0005433074281",11570,63,"24C"
"0005432947824",11570,64,"25A"
"0005433074279",11570,65,"25C"
"0005432947817",11570,66,"25D"
"0005432947807",11570,67,"26F"
"0005432947813",11570,68,"26E"
"0005433074258",11570,69,"27B"
"0005433074261",11570,70,"27D"
"0005433074277",11570,71,"28B"
"0005433131639",11570,72,"28C"
"0005433134067",11570,73,"28E"
"0005432947818",11570,74,"28F"
"0005432947819",11570,75,"29B"
"0005433074273",11570,76,"29C"
"0005432947825",11570,77,"29D"
"0005432947821",11570,78,"29E"
"0005433074259",11570,79,"30C"
"0005432947810",11570,80,"30E"
"0005433074257",11570,81,"30D"
"0005433074265",11570,82,"30F"
"0005433074255",11570,83,"31F"
"0005433817414",10009,1,"1B"
"0005433817413",10009,2,"5A"
"0005433817412",10009,3,"5B"
"0005434732928",13932,1,"2B"
"0005434732927",13932,2,"4A"
"0005434732926",13932,3,"5A"
"0005435981616",2324,1,"1A"
"0005435981603",2324,2,"1C"
"0005433753383",2324,3,"1F"
"0005435981630",2324,4,"1H"
"0005433753337",2324,5,"1G"
"0005435981600",2324,6,"2A"
"0005433753389",2324,7,"2B"
"0005433753358",2324,8,"2F"
"0005435981622",2324,9,"2C"
"0005433753354",2324,10,"2G"
"0005432300177",2324,11,"3B"
"0005433753342",2324,12,"3A"
"0005435981629",2324,13,"3C"
"0005432655362",2324,14,"3G"
"0005433753361",2324,15,"3F"
"0005433753364",2324,16,"3H"
"0005432225962",2324,17,"4B"
"0005433753385",2324,18,"4F"
"0005435981626",2324,19,"4H"
"0005433753351",2324,20,"5A"
"0005433753391",2324,21,"5F"
"0005433753371",2324,22,"5C"
"0005435981628",2324,23,"5G"
"0005433753360",2324,24,"5H"
"0005433753349",2324,25,"9B"
"0005433753375",2324,26,"9G"
"0005433753379",2324,27,"9H"
"0005432655361",2324,28,"11B"
"0005433764647",2324,29,"11E"
"0005435981632",2324,30,"11F"
"0005435981633",2324,31,"11H"
"0005435981606",2324,32,"12A"
"0005433753359",2324,33,"12D"
"0005435981624",2324,34,"12B"
"0005435981607",2324,35,"12F"
"0005435981638",2324,36,"13B"
"0005433753390",2324,37,"13A"
"0005433753382",2324,38,"13D"
"0005433753363",2324,39,"13E"
"0005432300173",2324,40,"13H"
"0005433753357",2324,41,"14A"
"0005433753388",2324,42,"14D"
"0005433753347",2324,43,"14F"
"0005432225963",2324,44,"14G"
"0005433753340",2324,45,"15A"
"0005433766583",2324,46,"15B"
"0005435981612",2324,47,"15E"
"0005433753352",2324,48,"15D"
"0005433753374",2324,49,"15H"
"0005433753386",2324,50,"15G"
"0005432225961",2324,51,"16A"
"0005435981604",2324,52,"16B"
"0005435981631",2324,53,"16F"
"0005435981597",2324,54,"16H"
"0005435981625",2324,55,"16G"
"0005435981635",2324,56,"17B"
"0005435981641",2324,57,"17D"
"0005435981618",2324,58,"17F"
"0005432300176",2324,59,"18A"
"0005433764648",2324,60,"18D"
"0005432225965",2324,61,"18F"
"0005433753392",2324,62,"18E"
"0005435981608",2324,63,"18G"
"0005435981594",2324,64,"19A"
"0005435981615",2324,65,"19E"
"0005435981627",2324,66,"19F"
"0005433753365",2324,67,"20A"
"0005433753373",2324,68,"19H"
"0005433753338",2324,69,"20B"
"0005432655353",2324,70,"20E"
"0005432655360",2324,71,"20D"
"0005433753355",2324,72,"20F"
"0005433753344",2324,73,"21A"
"0005433753387",2324,74,"21B"
"0005433753377",2324,75,"21E"
"0005435981598",2324,76,"21D"
"0005433766581",2324,77,"21H"
"0005433753378",2324,78,"22E"
"0005433753393",2324,79,"22F"
"0005433753339",2324,80,"23A"
"0005433753366",2324,81,"22H"
"0005433753350",2324,82,"23B"
"0005433753384",2324,83,"23D"
"0005435981642",2324,84,"23F"
"0005433753345",2324,85,"23E"
"0005433753369",2324,86,"23G"
"0005432300175",2324,87,"23H"
"0005435981636",2324,88,"24E"
"0005435981610",2324,89,"24F"
"0005433753381",2324,90,"24G"
"0005435981596",2324,91,"25D"
"0005432655357",2324,92,"25F"
"0005435981617",2324,93,"27D"
"0005435981613",2324,94,"27B"
"0005432300172",2324,95,"27A"
"0005433753336",2324,96,"27E"
"0005432655351",2324,97,"28A"
"0005435981639",2324,98,"28D"
"0005435981634",2324,99,"28G"
"0005432655355",2324,100,"29B"
"0005435981609",2324,101,"29E"
"0005435981619",2324,102,"29G"
"0005433766584",2324,103,"29F"
"0005435981601",2324,104,"29H"
"0005433753362",2324,105,"30F"
"0005433753346",2324,106,"31B"
"0005433764649",2324,107,"31D"
"0005433766582",2324,108,"31E"
"0005433753372",2324,109,"31H"
"0005435981614",2324,110,"31G"
"0005433753343",2324,111,"32A"
"0005435981623",2324,112,"33A"
"0005433753353",2324,113,"32H"
"0005435981640",2324,114,"33E"
"0005432300174",2324,115,"33F"
"0005433753367",2324,116,"33H"
"0005435981602",2324,117,"34D"
"0005432655358",2324,118,"34B"
"0005432655350",2324,119,"34E"
"0005435981621",2324,120,"34G"
"0005433753380",2324,121,"34H"
"0005435981620",2324,122,"35B"
"0005435981644",2324,123,"35D"
"0005433753376",2324,124,"35F"
"0005433753356",2324,125,"35E"
"0005432225960",2324,126,"35H"
"0005435981595",2324,127,"36B"
"0005432655356",2324,128,"36A"
"0005433753348",2324,129,"36E"
"0005433753370",2324,130,"36F"
"0005432655354",2324,131,"36H"
"0005432225964",2324,132,"37D"
"0005435981643",2324,133,"37E"
"0005435981637",2324,134,"37F"
"0005435981605",2324,135,"38A"
"0005432655359",2324,136,"38D"
"0005435981599",2324,137,"38E"
"0005433753368",2324,138,"38G"
"0005433753341",2324,139,"38F"
"0005432655352",2324,140,"39D"
"0005435981611",2324,141,"39E"
"0005432984567",26195,1,"1F"
"0005433434250",26195,2,"1G"
"0005433434265",26195,3,"2A"
"0005433434252",26195,4,"2B"
"0005432869419",26195,5,"3G"
"0005433434253",26195,6,"4B"
"0005432984573",26195,7,"4C"
"0005432984596",26195,8,"4H"
"0005432984591",26195,9,"4F"
"0005432984578",26195,10,"9A"
"0005432984569",26195,11,"5H"
"0005432984572",26195,12,"9G"
"0005432984590",26195,13,"11E"
"0005432984597",26195,14,"11D"
"0005432869418",26195,15,"11F"
"0005432984571",26195,16,"12E"
"0005433434257",26195,17,"12H"
"0005432984595",26195,18,"13B"
"0005432984576",26195,19,"13D"
"0005432984592",26195,20,"13E"
"0005432869421",26195,21,"13G"
"0005434731108",26195,22,"14B"
"0005432984574",26195,23,"14D"
"0005433434254",26195,24,"15A"
"0005433434239",26195,25,"15G"
"0005432984581",26195,26,"15H"
"0005432984568",26195,27,"16G"
"0005434731105",26195,28,"17A"
"0005432984599",26195,29,"17D"
"0005433434237",26195,30,"17E"
"0005433434262",26195,31,"18B"
"0005432984588",26195,32,"18H"
"0005434731107",26195,33,"19B"
"0005433434249",26195,34,"19E"
"0005433434246",26195,35,"19D"
"0005434731106",26195,36,"20A"
"0005433434258",26195,37,"20E"
"0005433434251",26195,38,"20G"
"0005432984570",26195,39,"21E"
"0005432984589",26195,40,"22D"
"0005432869422",26195,41,"22E"
"0005433434263",26195,42,"22G"
"0005432984598",26195,43,"23A"
"0005433434238",26195,44,"24A"
"0005432984575",26195,45,"24D"
"0005432984579",26195,46,"24F"
"0005432984594",26195,47,"24H"
"0005432049407",26195,48,"27B"
"0005432984584",26195,49,"27E"
"0005433434244",26195,50,"27G"
"0005432984593",26195,51,"28D"
"0005433434256",26195,52,"28B"
"0005433434242",26195,53,"28H"
"0005432049410",26195,54,"29A"
"0005432984583",26195,55,"29B"
"0005432984577",26195,56,"29E"
"0005432869420",26195,57,"29H"
"0005432049409",26195,58,"30A"
"0005433434259",26195,59,"30D"
"0005432051079",26195,60,"30G"
"0005433434261",26195,61,"31D"
"0005432984586",26195,62,"31F"
"0005432869417",26195,63,"32E"
"0005432984580",26195,64,"32H"
"0005432051080",26195,65,"33G"
"0005434731104",26195,66,"33F"
"0005433434248",26195,67,"33H"
"0005433434240",26195,68,"34A"
"0005433434243",26195,69,"34D"
"0005433434247",26195,70,"34H"
"0005432984585",26195,71,"35D"
"0005433434241",26195,72,"35F"
"0005433434260",26195,73,"36A"
"0005433434264",26195,74,"35H"
"0005432051081",26195,75,"36B"
"0005432984582",26195,76,"36E"
"0005432984587",26195,77,"38A"
"0005432049408",26195,78,"38D"
"0005432051082",26195,79,"38E"
"0005433434255",26195,80,"38F"
"0005433434245",26195,81,"38H"
"0005432869423",26195,82,"39F"
"0005434373955",1494,1,"1C"
"0005434373948",1494,2,"2C"
"0005434373984",1494,3,"2A"
"0005434373988",1494,4,"4E"
"0005434373987",1494,5,"4F"
"0005432267795",1494,6,"5A"
"0005432267792",1494,7,"5C"
"0005434373994",1494,8,"5E"
"0005434373974",1494,9,"5F"
"0005434373973",1494,10,"6C"
"0005432267791",1494,11,"6B"
"0005434373968",1494,12,"6F"
"0005434373977",1494,13,"7C"
"0005434373978",1494,14,"7D"
"0005434373966",1494,15,"8A"
"0005434373956",1494,16,"8C"
"0005434373991",1494,17,"8E"
"0005434373964",1494,18,"8D"
"0005434373975",1494,19,"9A"
"0005432267790",1494,20,"9B"
"0005434373957",1494,21,"9E"
"0005434373971",1494,22,"9D"
"0005433150827",1494,23,"11A"
"0005434373952",1494,24,"11D"
"0005434373963",1494,25,"11E"
"0005434373979",1494,26,"12A"
"0005434373993",1494,27,"12B"
"0005434373945",1494,28,"12F"
"0005434373960",1494,29,"13C"
"0005434373958",1494,30,"13B"
"0005434373982",1494,31,"13E"
"0005434373970",1494,32,"13F"
"0005434373967",1494,33,"14A"
"0005433461554",1494,34,"14C"
"0005434373983",1494,35,"14B"
"0005434373959",1494,36,"14D"
"0005434373986",1494,37,"14E"
"0005434373950",1494,38,"15A"
"0005434373962",1494,39,"14F"
"0005434373980",1494,40,"15B"
"0005433460403",1494,41,"15E"
"0005433460404",1494,42,"15F"
"0005434373961",1494,43,"16B"
"0005432267793",1494,44,"16C"
"0005432267796",1494,45,"16E"
"0005434373969",1494,46,"16F"
"0005434373965",1494,47,"17B"
"0005434373976",1494,48,"17C"
"0005434373990",1494,49,"17D"
"0005433461555",1494,50,"18C"
"0005434373989",1494,51,"19A"
"0005434373953",1494,52,"18F"
"0005432267794",1494,53,"19C"
"0005433460402",1494,54,"20A"
"0005434373954",1494,55,"20D"
"0005434373985",1494,56,"20E"
"0005434373981",1494,57,"21B"
"0005434373949",1494,58,"21D"
"0005434373946",1494,59,"21E"
"0005434373992",1494,60,"22B"
"0005434373951",1494,61,"22F"
"0005434373947",1494,62,"23C"
"0005434373972",1494,63,"23F"
"0005433764648",20123,1,"1C"
"0005433150874",20123,2,"1F"
"0005433150884",20123,3,"2F"
"0005433150877",20123,4,"3F"
"0005433150893",20123,5,"4E"
"0005433150896",20123,6,"5A"
"0005433150885",20123,7,"5C"
"0005433150873",20123,8,"5D"
